ID_Venta,ID_Cliente,Fecha_Venta,Metodo_Pago,Modo_Entrega,ID_Detalle_Venta,ID_Producto_Venta,Cantidad,Precio_Unitario,Longitud_mt,Capas,Tipo_Empaque,ID_Producto,Tipo_Producto,Denier,Longitud_mm,Descripcion,ID_Importacion,Costo_Unitario,Volumen,Fecha_Importacion,Costo_Transporte,IVA,Arancel,Costo_Agente,Fecha_Costo,ID_Produccion,Costo_Produccion,Cantidad_Producida,Fecha_Produccion
3,1,2023-01-11,QR,Retirado,28,6,10.5,21.5,2.2,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
3,1,2023-01-11,QR,Retirado,29,6,11.3,21.5,2.2,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
3,1,2023-01-11,QR,Retirado,30,6,9.5,21.5,2.2,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
4,1,2023-01-21,QR,Entregado,31,3,20.0,20.5,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
4,1,2023-01-21,QR,Entregado,32,3,20.0,20.5,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
4,1,2023-01-21,QR,Entregado,33,3,10.0,20.5,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
4,1,2023-01-21,QR,Entregado,34,6,11.5,22.0,2.0,2.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
4,1,2023-01-21,QR,Entregado,35,6,10.2,22.0,2.0,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
5,1,2023-01-30,Efectivo,Retirado,36,4,20.0,23.0,,,saco,4,Fibra Siliconada,3,64,"material extra suave grade a, hcs - made in China",,,,,,,,,,,,,
5,1,2023-01-30,Efectivo,Retirado,37,5,9.6,22.0,2.2,4.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
5,1,2023-01-30,Efectivo,Retirado,38,7,12.0,22.5,2.2,5.0,rollo,7,Fibra Discontinua de poliéster,7,64,psf material suave de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
5,1,2023-01-30,Efectivo,Retirado,39,6,11.2,22.0,2.2,4.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
5,1,2023-01-30,Efectivo,Retirado,40,6,9.7,22.0,2.2,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
6,1,2023-02-04,Efectivo,Retirado,41,1,20.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
6,1,2023-02-04,Efectivo,Retirado,42,1,20.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
6,1,2023-02-04,Efectivo,Retirado,43,1,20.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
